ped. #,time (s),x (cm),y (cm)
1,0,-602.862,-88.3247
1,0.033367,-598.371,-88.2248
1,0.066733,-593.962,-88.1921
1,0.100101,-589.398,-88.2027
1,0.133468,-584.778,-88.1667
1,0.166835,-580.006,-88.1549
1,0.200202,-575.14,-87.7603
1,0.233569,-571.207,-86.7344
1,0.266936,-566.59,-87.7603
1,0.300303,-561.461,-87.7603
1,0.33367,-556.331,-87.7603
1,0.367037,-551.202,-88.6152
1,0.400404,-547.193,-89.2343
1,0.433771,-542.653,-88.6152
1,0.467138,-537.589,-88.944
1,0.500505,-533.591,-88.7862
1,0.533872,-528.803,-88.1023
1,0.567239,-525.554,-86.9054
1,0.600606,-520.491,-87.2342
1,0.633973,-515.887,-86.445
1,0.66734,-511.534,-85.8795
1,0.700707,-507.601,-85.1955
1,0.734074,-501.617,-84.3406
1,0.767441,-496.915,-83.9132
1,0.800808,-492.213,-83.4857
1,0.834175,-488.793,-83.4857
1,0.867542,-484.518,-82.6308
1,0.900909,-481.099,-82.6308
1,0.934276,-475.114,-82.6308
1,0.967643,-469.985,-82.6308
1,1.00101,-465.71,-81.7759
1,1.034377,-461.863,-83.0582
1,1.067744,-458.016,-83.4857
1,1.101111,-454.596,-83.4857
1,1.134478,-450.322,-84.3406
1,1.167845,-446.902,-84.3406
1,1.201212,-443.91,-84.7681
1,1.234579,-440.063,-85.1955
1,1.267946,-436.643,-86.0504
1,1.301313,-432.796,-86.4779
1,1.33468,-429.804,-86.9054
1,1.368047,-426.384,-87.7603
1,1.401414,-423.392,-88.1877
1,1.434781,-419.545,-89.4701
1,1.468148,-416.21,-89.2137
1,1.501515,-413.304,-89.3846
1,1.534882,-410.141,-89.4701
1,1.568249,-406.721,-89.4701
1,1.601616,-404.156,-88.6152
1,1.634983,-400.736,-88.6152
1,1.66835,-398.599,-87.3328
1,1.701717,-395.179,-87.3328
1,1.735084,-391.76,-86.4779
1,1.768451,-387.058,-86.0504
1,1.801818,-384.92,-84.7681
1,1.835185,-380.218,-84.3406
1,1.868552,-376.799,-84.3406
1,1.901919,-373.379,-82.6308
1,1.935286,-370.13,-80.579
1,1.968653,-367.132,-80.4606
1,2.00202,-362.265,-80.9209
1,2.035387,-359.306,-78.9481
1,2.068754,-356.281,-78.3562
1,2.102121,-352.69,-77.8432
1,2.135488,-349.099,-78.5272
1,2.168855,-346.022,-77.5013
1,2.202222,-343.029,-77.0738
1,2.235589,-339.61,-77.0738
1,2.268956,-336.19,-77.0738
1,2.302323,-331.83,-76.8173
1,2.33569,-328.571,-76.9481
1,2.369057,-325.076,-77.9287
1,2.402424,-321.657,-77.9287
1,2.435791,-316.954,-78.3562
1,2.469158,-311.825,-79.2111
1,2.502525,-309.26,-79.2111
1,2.535892,-305.67,-80.579
1,2.569259,-300.711,-80.9209
1,2.602626,-296.864,-80.4935
1,2.635993,-293.872,-80.9209
1,2.66936,-288.742,-81.7759
1,2.702727,-285.322,-81.7759
1,2.736094,-281.903,-81.7759
1,2.769461,-277.578,-81.1221
1,2.802828,-273.354,-80.066
1,2.836195,-269.934,-80.066
1,2.869562,-265.659,-79.2111
1,2.902929,-261.385,-78.3562
1,2.936296,-256.255,-78.3562
1,2.969663,-252.494,-78.1852
1,3.00303,-247.877,-77.8432
1,3.036397,-243.432,-76.6464
1,3.069764,-239.157,-74.9365
1,3.103131,-234.027,-74.9365
1,3.136498,-229.753,-74.9365
1,3.169865,-225.478,-73.2267
1,3.203232,-222.059,-73.2267
1,3.236599,-216.929,-73.2267
1,3.269966,-213.509,-73.2267
1,3.303333,-210.09,-73.2267
1,3.3367,-206.469,-73.1764
1,3.370067,-201.541,-73.2267
1,3.403434,-198.121,-73.2267
1,3.436801,-193.846,-72.3718
1,3.470168,-189.572,-73.2267
1,3.503535,-185.297,-73.2267
1,3.536902,-181.023,-73.2267
1,3.570269,-177.603,-73.2267
1,3.603636,-172.473,-74.0816
1,3.637003,-169.054,-74.9365
1,3.67037,-163.924,-74.9365
1,3.703737,-160.504,-74.9365
1,3.737104,-156.23,-74.9365
1,3.770471,-152.81,-74.0816
1,3.803838,-148.536,-73.2267
1,3.837205,-145.116,-74.0816
1,3.870572,-140.841,-73.2267
1,3.903939,-136.567,-72.3718
1,3.937306,-132.292,-72.3718
1,3.970673,-128.478,-72.6348
1,4.00404,-124.598,-71.5168
1,4.037407,-120.323,-71.5168
1,4.070774,-116.049,-70.6619
1,4.104141,-112.629,-69.807
1,4.137508,-107.5,-68.9521
1,4.170875,-104.08,-68.9521
1,4.204242,-99.8053,-68.0972
1,4.237609,-95.5307,-67.2423
1,4.270976,-92.1111,-66.3873
1,4.304343,-86.9815,-66.3873
1,4.33771,-83.5619,-66.3873
1,4.371077,-79.2873,-66.3873
1,4.404444,-75.0127,-66.3873
1,4.437811,-71.593,-66.3873
1,4.471178,-66.4635,-66.3873
1,4.504545,-63.0438,-66.3873
1,4.537912,-57.9143,-66.3873
1,4.571279,-53.6397,-66.3873
1,4.604646,-49.3652,-66.3873
1,4.638013,-44.2357,-66.3873
1,4.67138,-39.7901,-66.9003
1,4.704747,-35.6865,-67.2423
1,4.738114,-27.1373,-68.0972
1,4.771481,-23.7176,-67.2423
1,4.804848,-20.298,-66.3873
1,4.838215,-15.5915,-66.2904
1,4.871582,-12.8539,-66.0746
1,4.904949,-9.18402,-66.3873
1,4.938316,-3.88352,-65.8744
1,4.971683,0.904054,-65.1904
1,5.00505,5.17859,-64.3355
1,5.038417,8.76926,-64.6775
1,5.071784,14.3262,-63.3951
1,5.105151,17.3184,-62.9677
1,5.138518,22.8754,-61.6853
1,5.171885,27.5775,-61.2578
1,5.205252,32.707,-61.2578
1,5.238619,37.8365,-59.548
1,5.271986,42.1111,-59.548
1,5.305353,47.2406,-57.8382
1,5.33872,51.5152,-57.8382
1,5.372087,55.7897,-57.8382
1,5.405454,60.9192,-56.9832
1,5.438821,65.1938,-56.9832
1,5.472188,70.4943,-57.3252
1,5.505555,74.7689,-57.3252
1,5.538922,78.8725,-56.9832
1,5.572289,83.1471,-57.8382
1,5.605656,89.1315,-57.8382
1,5.639023,92.5512,-57.8382
1,5.67239,97.6807,-57.8382
1,5.705757,102.81,-57.8382
1,5.739124,107.94,-57.8382
1,5.772491,113.069,-59.548
1,5.805858,118.199,-59.548
1,5.839225,123.328,-59.548
1,5.872592,128.885,-59.1205
1,5.905959,132.732,-57.8382
1,5.939326,137.007,-57.8382
1,5.972693,142.136,-57.8382
1,6.00606,145.556,-57.8382
1,6.039427,150.686,-57.8382
1,6.072794,154.105,-57.8382
1,6.106161,160.004,-56.3848
1,6.139528,164.022,-55.9574
1,6.172895,168.639,-56.1283
1,6.206262,172.913,-56.1283
1,6.239629,178.043,-56.1283
1,6.272996,183.002,-55.7864
1,6.306363,186.592,-54.4185
1,6.33973,191.722,-54.4185
1,6.373097,196.851,-54.4185
1,6.406464,201.981,-54.4185
1,6.439831,207.11,-54.4185
1,6.473198,210.53,-56.1283
1,6.506565,215.659,-56.1283
1,6.539932,219.934,-56.1283
1,6.573299,224.892,-55.6154
1,6.606666,229.766,-57.4107
1,6.640033,234.468,-57.8382
1,6.6734,239.084,-58.0092
1,6.706767,243.017,-59.548
1,6.740134,248.146,-59.548
1,6.773501,254.558,-60.8304
1,6.806868,258.405,-61.2578
1,6.840235,263.535,-61.2578
1,6.873602,268.664,-61.2578
