x [cm],y [cm]
-1900,-125
-1900,-75
-1900,25
-1900,75
-1900,125
-1750,-125
-1750,-75
-1750,-25
-1750,75
-1750,125
-1600,-125
-1600,-75
-1600,-25
-1600,75
-1600,125
-1450,-125
-1450,-75
-1450,25
-1450,75
-1450,125
-1300,-125
-1300,-75
-1300,-25
-1300,75
-1300,125
-1150,-125
-1150,-75
-1150,-25
-1150,25
-1150,125
-1000,-125
-1000,-75
-1000,25
-1000,75
-1000,125
-850,-125
-850,-75
-850,-25
-850,25
-850,125
-700,-125
-700,-75
-700,-25
-700,25
-700,125
700,-75
850,75
1000,75
1150,-125
1300,-25
1450,-25
1600,-125
1750,75
1900,-25
