ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0,-499.05,-115.97,-1
1,1,0.033367,-494.09,-116.32,-1
1,1,0.066733,-489.22,-116.4,-1
1,1,0.1001,-483.66,-115.12,-1
1,1,0.13347,-479.39,-114.26,-1
1,1,0.16683,-472.98,-113.83,-1
1,1,0.2002,-468.27,-112.55,-1
1,1,0.23357,-462.97,-112.04,-1
1,1,0.26693,-458.02,-109.99,-1
1,1,0.3003,-451.86,-110.33,-1
1,1,0.33367,-446.9,-109.13,-1
1,1,0.36703,-439.63,-109.56,-1
1,1,0.4004,-434.93,-108.28,-1
1,1,0.43377,-428.95,-108.28,-1
1,1,0.46713,-425.53,-108.28,-1
1,1,0.5005,-418.69,-107.42,-1
1,1,0.53387,-414.84,-107,-1
1,1,0.56723,-410.14,-106.57,-1
1,1,0.6006,-403.3,-107.42,-1
1,1,0.63397,-398.17,-107.42,-1
1,1,0.66733,-394.75,-107.42,-1
1,1,0.7007,-388.34,-107.85,-1
1,1,0.73407,-382.95,-108.62,-1
1,1,0.76743,-378,-108.11,-1
1,1,0.8008,-372.52,-108.28,-1
1,1,0.83417,-368.25,-109.13,-1
1,1,0.86753,-363.12,-109.13,-1
1,1,0.9009,-357.99,-108.28,-1
1,1,0.93427,-353.72,-107.42,-1
1,1,0.96763,-347.3,-107,-1
1,1,1.001,-343.03,-107,-1
1,1,1.0344,-336.62,-107.42,-1
1,1,1.0677,-332.34,-106.57,-1
1,1,1.1011,-326.36,-107.42,-1
1,1,1.1345,-321.06,-106.23,-1
1,1,1.1678,-316.1,-105.71,-1
1,1,1.2012,-309.69,-106.14,0.13334
1,1,1.2346,-305.84,-104.86,0.13378
1,1,1.2679,-300.28,-105.29,0.13526
1,1,1.3013,-295.58,-104.86,0.13744
1,1,1.3347,-290.45,-104.86,0.14156
1,1,1.368,-286.18,-105.71,0.14204
1,1,1.4014,-280.88,-105.2,0.14309
1,1,1.4348,-274.21,-105.71,0.14538
1,1,1.4681,-269.08,-106.57,0.14635
1,1,1.5015,-263.1,-106.57,0.15045
1,1,1.5349,-258.39,-107,0.15531
1,1,1.5682,-254.54,-108.28,0.15674
1,1,1.6016,-248.13,-110.42,0.15634
1,1,1.635,-242.15,-110.42,0.16069
1,1,1.6683,-238.3,-109.99,0.16263
1,1,1.7017,-232.32,-111.7,0.1653
1,1,1.7351,-227.19,-111.7,0.16893
1,1,1.7684,-222.49,-112.98,0.17093
1,1,1.8018,-216.59,-112.72,0.17347
1,1,1.8352,-211.8,-113.41,0.17763
1,1,1.8685,-207.53,-113.41,0.18236
1,1,1.9019,-203.25,-113.41,0.18523
1,1,1.9353,-197.27,-113.41,0.18946
1,1,1.9686,-192.99,-113.41,0.19229
1,1,2.002,-187.86,-113.41,0.19785
1,1,2.0354,-183.59,-113.41,0.20183
1,1,2.0687,-179.31,-113.41,0.20433
1,1,2.1021,-174.18,-113.41,0.21065
1,1,2.1355,-169.91,-113.41,0.21217
1,1,2.1688,-164.61,-112.21,0.21583
1,1,2.2022,-159.65,-112.55,0.21839
1,1,2.2356,-154.09,-112.13,0.22354
1,1,2.2689,-150.25,-111.7,0.23028
1,1,2.3023,-145.54,-112.13,0.23234
1,1,2.3357,-139.99,-112.55,0.23923
1,1,2.369,-134,-112.55,0.24447
1,1,2.4024,-129.04,-112.04,0.2509
1,1,2.4358,-124.6,-111.7,0.25716
1,1,2.4691,-119.47,-111.7,0.26284
1,1,2.5025,-116.05,-111.7,0.26693
1,1,2.5359,-110.75,-112.21,0.27856
1,1,2.5692,-105.79,-112.55,0.28148
1,1,2.6026,-100.66,-112.55,0.28976
1,1,2.636,-95.103,-112.98,0.30476
1,1,2.6693,-91.256,-113.41,0.31698
1,1,2.7027,-86.127,-114.26,0.30849
1,1,2.7361,-79.287,-113.41,0.3226
1,1,2.7694,-74.158,-114.26,0.33257
1,1,2.8028,-70.738,-114.26,0.34087
1,1,2.8362,-65.609,-114.26,0.34547
1,1,2.8695,-60.052,-113.83,0.35604
1,1,2.9029,-55.264,-112.3,0.36309
1,1,2.9363,-50.22,-112.55,0.37162
1,1,2.9696,-45.946,-111.7,0.37863
1,1,3.003,-40.816,-111.7,0.39355
1,1,3.0364,-37.225,-111.36,0.41729
1,1,3.0697,-34.831,-112.55,0.41782
1,1,3.1031,-29.702,-109.99,0.4367
1,1,3.1365,-27.964,-109.71,0.43649
1,1,3.1698,-22.863,-107.42,0.45128
1,1,3.2032,-14.313,-109.13,0.46341
1,1,3.2366,-10.039,-107.42,0.47679
1,1,3.2699,-5.4223,-107.25,0.49021
1,1,3.3033,0.22008,-106.57,0.51024
1,1,3.3367,5.3496,-105.71,0.53159
1,1,3.37,7.2304,-105.37,0.56074
1,1,3.4034,11.847,-105.54,0.56307
1,1,3.4368,15.609,-102.29,0.60319
1,1,3.4701,19.541,-102.98,0.61772
1,1,3.5035,24.158,-100.58,0.65336
1,1,3.5369,30.142,-102.29,0.68033
1,1,3.5702,33.562,-102.29,0.73132
1,1,3.6036,36.982,-101.44,0.74834
1,1,3.637,40.401,-100.58,0.78916
1,1,3.6703,47.668,-98.447,0.84547
1,1,3.7037,52.088,-98.273,0.86474
1,1,3.7371,59.209,-94.6,0.9219
1,1,3.7704,62.629,-93.745,0.97629
1,1,3.8038,66.049,-93.745,1.0716
1,1,3.8372,69.469,-93.745,1.1537
1,1,3.8705,73.743,-94.6,1.248
1,1,3.9039,79.3,-94.172,1.3405
1,1,3.9373,82.72,-94.172,1.4163
1,1,3.9706,86.909,-93.061,1.5154
1,1,4.004,89.559,-92.462,1.6189
1,1,4.0374,95.116,-91.18,1.6848
1,1,4.0707,100.25,-91.18,1.558
1,1,4.1041,103.67,-91.18,1.2773
1,1,4.1375,109.22,-93.317,1.0914
1,1,4.1708,113.5,-92.462,1.0066
1,1,4.2042,116.92,-92.462,0.94891
1,1,4.2376,121.62,-93.745,0.91305
1,1,4.2709,125.04,-92.89,0.88434
1,1,4.3043,129.31,-93.745,0.87252
1,1,4.3377,130.17,-94.6,0.87223
1,1,4.371,133.59,-95.454,0.85768
1,1,4.4044,136.15,-96.31,0.84809
1,1,4.4378,139.57,-96.31,0.86547
1,1,4.4711,140.43,-97.164,0.84108
1,1,4.5045,142.56,-96.737,0.81922
1,1,4.5379,147.69,-95.882,0.8128
1,1,4.5712,151.11,-95.882,0.81138
1,1,4.6046,151.97,-94.172,0.81728
1,1,4.638,155.99,-94.087,0.81631
1,1,4.6713,160.09,-92.89,0.82807
1,1,4.7047,163.51,-92.89,0.8454
1,1,4.7381,166.07,-90.325,0.87061
1,1,4.7714,167.78,-89.47,0.88256
1,1,4.8048,172.91,-87.76,0.94097
1,1,4.8382,177.02,-86.392,0.98069
1,1,4.8715,179.75,-86.05,1.03
1,1,4.9049,183.17,-84.341,1.105
1,1,4.9383,187.45,-82.631,1.2007
1,1,4.9716,190.01,-83.486,1.2624
1,1,5.005,193,-85.623,1.2621
1,1,5.0384,198.99,-83.058,1.2058
1,1,5.0717,200.78,-83.315,1.1406
1,1,5.1051,203.86,-83.144,1.0845
1,1,5.1385,206.26,-82.631,0.93105
1,1,5.1718,212.24,-83.486,0.8876
1,1,5.2052,215.66,-82.631,0.85602
1,1,5.2386,221.64,-82.631,0.83061
1,1,5.2719,227.2,-83.058,0.8154
1,1,5.3053,231.9,-83.486,0.80278
1,1,5.3387,235.32,-83.486,0.79273
1,1,5.372,238.49,-83.571,0.75705
1,1,5.4054,247.29,-82.631,0.74838
1,1,5.4388,250.71,-82.631,0.72758
1,1,5.4721,255.84,-81.776,0.70335
1,1,5.5055,261.28,-82.22,0.67305
1,1,5.5389,266.1,-79.211,0.64673
1,1,5.5722,271.23,-77.501,0.62458
1,1,5.6056,276.79,-77.074,0.61538
1,1,5.639,279.78,-76.646,0.60335
1,1,5.6723,284.91,-75.791,0.58859
1,1,5.7057,288.33,-74.936,0.5531
1,1,5.7391,294.74,-73.654,-1
1,1,5.7724,298.76,-73.569,0.6419
1,1,5.8058,311.61,-71.621,0.64505
1,1,5.8392,312.43,-73.087,0.64332
1,1,5.8725,317.86,-73.144,0.65038
1,1,5.9059,322.29,-74.047,0.64501
1,1,5.9393,326.8,-72.372,0.64313
1,1,5.9726,332.61,-70.149,0.63845
1,1,6.006,338.08,-71.175,0.63617
1,1,6.0394,341.85,-70.833,0.66068
1,1,6.0727,344.75,-69.807,0.67053
1,1,6.1061,348.17,-68.952,0.69477
1,1,6.1395,352.45,-68.952,0.70329
1,1,6.1728,360.14,-68.952,0.71756
1,1,6.2062,364.42,-69.807,0.73899
1,1,6.2396,370.4,-70.662,0.75727
1,1,6.2729,373.82,-70.662,0.7864
1,1,6.3063,379.39,-72.302,0.79977
1,1,6.3397,385.99,-71.648,-1
1,1,6.373,390.06,-72.372,-1
1,1,6.4064,396.05,-72.372,-1
1,1,6.4398,403.06,-72.885,-1
1,1,6.4731,407.33,-72.714,-1
1,1,6.5065,412.29,-71.517,-1
1,1,6.5399,418.27,-72.372,-1
1,1,6.5732,422.55,-73.227,-1
1,1,6.6066,427.68,-73.227,-1
1,1,6.64,431.95,-73.227,-1
1,1,6.6733,436.23,-73.227,-1
1,1,6.7067,442.21,-73.227,-1
1,1,6.7401,448.2,-74.082,-1
1,1,6.7734,450.76,-75.791,-1
1,1,6.8068,455.09,-76.847,-1
1,1,6.8402,463.37,-77.137,-1
1,1,6.8735,470.43,-77.501,-1
1,1,6.9069,472.99,-76.646,-1
1,1,6.9403,478.97,-76.646,-1
1,1,6.9736,484.96,-75.791,-1
1,1,7.007,489.23,-75.791,-1
1,1,7.0404,494.36,-76.646,-1
1,1,7.0737,499.07,-77.929,-1
2,1,0.16683,-499.48,-61.685,-1
2,1,0.2002,-494.35,-61.685,-1
2,1,0.23357,-489.65,-59.548,-1
2,1,0.26693,-483.24,-58.266,-1
2,1,0.3003,-478.96,-57.411,-1
2,1,0.33367,-471.87,-56.641,-1
2,1,0.36703,-467.42,-55.273,-1
2,1,0.4004,-462.29,-54.419,-1
2,1,0.43377,-456.73,-52.281,-1
2,1,0.46713,-451.6,-51.426,-1
2,1,0.5005,-446.56,-51.683,-1
2,1,0.53387,-441.43,-50.828,-1
2,1,0.56723,-437.5,-50.999,-1
2,1,0.6006,-433.22,-50.999,-1
2,1,0.63397,-428.95,-50.999,-1
2,1,0.66733,-422.96,-50.999,-1
2,1,0.7007,-418.26,-50.571,-1
2,1,0.73407,-413.56,-50.999,-1
2,1,0.76743,-408.43,-50.999,-1
2,1,0.8008,-402.45,-52.709,-1
2,1,0.83417,-399.03,-52.709,-1
2,1,0.86753,-394.75,-52.709,-1
2,1,0.9009,-389.19,-53.991,-1
2,1,0.93427,-383.98,-54.248,-1
2,1,0.96763,-379.36,-53.564,-1
2,1,1.001,-373.38,-53.564,-1
2,1,1.0344,-370.81,-53.564,-1
2,1,1.0677,-365.69,-53.564,-1
2,1,1.1011,-360.56,-53.564,-1
2,1,1.1345,-356.28,-52.709,-1
2,1,1.1678,-351.15,-52.709,-1
2,1,1.2012,-346.02,-52.709,-1
2,1,1.2346,-342.6,-51.854,-1
2,1,1.2679,-336.62,-51.854,0.68371
2,1,1.3013,-330.63,-51.854,0.6794
2,1,1.3347,-326.36,-49.289,0.64924
2,1,1.368,-319.95,-48.861,0.64128
2,1,1.4014,-315.67,-48.007,0.63539
2,1,1.4348,-310.12,-47.579,0.61427
2,1,1.4681,-304.99,-47.579,0.62272
2,1,1.5015,-300.71,-46.724,0.60338
2,1,1.5349,-294.73,-47.579,0.59258
2,1,1.5682,-290.45,-48.434,0.58827
2,1,1.6016,-286.61,-48.007,0.59625
2,1,1.635,-281.9,-48.434,0.58075
2,1,1.6683,-275.92,-49.289,0.58755
2,1,1.7017,-272.5,-50.144,0.57295
2,1,1.7351,-266.51,-50.144,0.57397
2,1,1.7684,-262.24,-50.144,0.57496
2,1,1.8018,-256.42,-51.032,0.5929
2,1,1.8352,-252.84,-51.854,0.58543
2,1,1.8685,-247.71,-52.709,0.61226
2,1,1.9019,-242.58,-53.564,0.58462
2,1,1.9353,-236.59,-52.709,0.57108
2,1,1.9686,-231.46,-52.709,0.58626
2,1,2.002,-227.19,-52.709,0.58987
2,1,2.0354,-222.06,-53.564,0.57421
2,1,2.0687,-217.13,-52.759,0.56455
2,1,2.1021,-213.08,-52.281,0.54119
2,1,2.1355,-207.01,-52.88,0.54136
2,1,2.1688,-201.97,-52.281,0.55852
2,1,2.2022,-198.12,-53.564,0.5371
2,1,2.2356,-192.99,-50.144,0.54856
2,1,2.2689,-188.29,-52.281,0.52106
2,1,2.3023,-182.73,-50.999,0.53175
2,1,2.3357,-179.31,-50.144,0.5012
2,1,2.369,-172.72,-47.73,0.49064
2,1,2.4024,-167.34,-48.434,0.48025
