ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0.033367,-494.78,119.13,-1
1,1,0.066733,-490.07,117.85,-1
1,1,0.1001,-484.95,116.99,-1
1,1,0.13347,-478.53,117.42,-1
1,1,0.16683,-473.94,115.13,-1
1,1,0.2002,-469.47,115.03,-1
1,1,0.23357,-464.68,114.34,-1
1,1,0.26693,-461.86,115.28,-1
1,1,0.3003,-455.88,115.28,-1
1,1,0.33367,-452.8,113.79,-1
1,1,0.36703,-447.77,115.01,-1
1,1,0.4004,-442.63,113.15,-1
1,1,0.43377,-438.78,115.28,-1
1,1,0.46713,-433.65,115.28,-1
1,1,0.5005,-428.52,115.28,-1
1,1,0.53387,-425.53,113.15,-1
1,1,0.56723,-418.69,116.57,-1
1,1,0.6006,-412.7,114,-1
1,1,0.63397,-409.29,114.86,-1
1,1,0.66733,-404.16,115.71,-1
1,1,0.7007,-399.45,116.14,-1
1,1,0.73407,-394.32,116.14,-1
1,1,0.76743,-389.19,116.14,-1
1,1,0.8008,-384.32,116.91,-1
1,1,0.83417,-378.94,116.99,-1
1,1,0.86753,-374.23,118.28,-1
1,1,0.9009,-369.53,118.7,-1
1,1,0.93427,-364.4,119.56,-1
1,1,0.96763,-359.7,120.84,-1
1,1,1.001,-355,121.27,-1
1,1,1.0344,-349.87,121.27,-1
1,1,1.0677,-345.59,120.41,-1
1,1,1.1011,-339.18,118.28,-1
1,1,1.1345,-334.05,120.84,-1
1,1,1.1678,-329.78,119.99,-1
1,1,1.2012,-326.36,117.42,-1
1,1,1.2346,-321.23,117.42,-1
1,1,1.2679,-315.25,117.42,-1
1,1,1.3013,-311.31,116.74,0.2557
1,1,1.3347,-306.27,116.99,0.25725
1,1,1.368,-300.71,115.71,0.26718
1,1,1.4014,-296.44,116.57,0.27157
1,1,1.4348,-291.9,115.63,0.27757
1,1,1.4681,-287.03,116.57,0.27167
1,1,1.5015,-281.2,114.63,0.28226
1,1,1.5349,-276.77,116.57,0.28347
1,1,1.5682,-270.79,115.71,0.28139
1,1,1.6016,-265.66,115.71,0.29007
1,1,1.635,-261.38,115.71,0.29755
1,1,1.6683,-257.11,115.71,0.30276
1,1,1.7017,-251.98,117.42,0.30767
1,1,1.7351,-246.85,117.42,0.30697
1,1,1.7684,-240.87,115.71,0.31953
1,1,1.8018,-237.45,118.28,0.32556
1,1,1.8352,-232.32,118.28,0.32736
1,1,1.8685,-226.33,118.28,0.32821
1,1,1.9019,-221.2,117.42,0.34323
1,1,1.9353,-217.36,118.7,0.35251
1,1,1.9686,-212.65,119.99,0.35851
1,1,2.002,-207.95,120.41,0.36322
1,1,2.0354,-203.08,121.18,0.36943
1,1,2.0687,-196.84,122.98,0.37071
1,1,2.1021,-192.14,122.55,0.37783
1,1,2.1355,-187.86,122.55,0.38422
1,1,2.1688,-182.73,122.55,0.38669
1,1,2.2022,-177.6,121.69,0.39417
1,1,2.2356,-173.33,122.55,0.40149
1,1,2.2689,-168.54,123.23,0.4042
1,1,2.3023,-163.5,122.98,0.41126
1,1,2.3357,-158.79,121.69,0.41929
1,1,2.369,-154.52,122.55,0.42115
1,1,2.4024,-148.63,121.39,0.43051
1,1,2.4358,-144.77,121.87,0.43933
1,1,2.4691,-139.13,121.69,0.45001
1,1,2.5025,-134.12,122.53,0.46233
1,1,2.5359,-130.58,122.55,0.4723
1,1,2.5692,-125.45,121.69,0.47517
1,1,2.6026,-120.32,120.84,0.49368
1,1,2.636,-114.85,122.72,0.50751
1,1,2.6693,-112.97,122.38,0.51606
1,1,2.7027,-106.65,123.4,0.52137
1,1,2.7361,-101.09,122.98,0.54211
1,1,2.7694,-96.813,123.83,0.55219
1,1,2.8028,-92.538,123.83,0.5715
1,1,2.8362,-87.409,124.69,0.58136
1,1,2.8695,-83.134,125.54,0.59881
1,1,2.9029,-77.578,125.97,0.61532
1,1,2.9363,-74.158,125.97,0.63713
1,1,2.9696,-69.028,126.82,0.65452
1,1,3.003,-65.609,127.68,0.67616
1,1,3.0364,-59.624,128.53,0.70158
1,1,3.0697,-54.495,130.24,0.7232
1,1,3.1031,-49.365,131.95,0.75179
1,1,3.1365,-45.946,131.95,0.7819
1,1,3.1698,-41.671,133.66,0.81217
1,1,3.2032,-34.832,134.52,0.83588
1,1,3.2366,-29.873,134.86,0.86652
1,1,3.2699,-25.427,135.37,0.89778
1,1,3.3033,-21.153,136.23,0.90935
1,1,3.3367,-16.878,134.52,0.95395
1,1,3.37,-11.578,136.57,0.99237
1,1,3.4034,-6.7047,135.97,1.0328
1,1,3.4368,-4.0545,137.08,1.0874
1,1,3.4701,1.075,137.08,1.1179
1,1,3.5035,6.2045,136.23,1.1574
1,1,3.5369,9.2822,136.4,1.1987
1,1,3.5702,13.899,137.08,1.2335
1,1,3.6036,17.746,136.66,1.2801
1,1,3.637,24.158,135.37,1.3353
1,1,3.6703,28.432,135.37,1.372
1,1,3.7037,33.398,135.34,1.3876
1,1,3.7371,36.127,134.52,1.3931
1,1,3.7704,39.546,134.52,1.4353
1,1,3.8038,45.531,134.52,1.4534
1,1,3.8372,49.805,134.52,1.4654
1,1,3.8705,54.935,136.23,1.4302
1,1,3.9039,59.038,135.89,1.3516
1,1,3.9373,63.484,136.23,1.2953
1,1,3.9706,69.127,137.25,1.2338
1,1,4.004,73.743,136.23,1.2907
1,1,4.0374,78.36,136.06,1.4343
1,1,4.0707,83.318,136.57,1.4575
1,1,4.1041,89.132,136.23,1.5225
1,1,4.1375,92.551,137.08,1.5496
1,1,4.1708,97.882,137.03,1.6193
1,1,4.2042,103.67,138.79,1.6467
1,1,4.2376,107.94,138.79,1.6686
1,1,4.2709,112.64,140.07,1.7198
1,1,4.3043,117.34,140.5,1.7174
1,1,4.3377,122.64,140.85,1.7501
1,1,4.371,126.75,141.36,1.7485
1,1,4.4044,133.59,140.5,1.7706
1,1,4.4378,137.44,140.93,1.7396
1,1,4.4711,142.14,139.65,1.7018
1,1,4.5045,146.41,139.65,1.6873
1,1,4.5379,149.92,139.05,1.6138
1,1,4.5712,155.64,137.6,1.4509
1,1,4.6046,159.94,138,1.0974
1,1,4.638,163.51,135.37,0.93005
1,1,4.6713,166.93,135.37,0.78774
1,1,4.7047,172.06,133.66,0.7347
1,1,4.7381,175.48,133.66,0.69481
1,1,4.7714,180.61,133.66,0.66674
1,1,4.8048,184.88,133.66,0.64571
1,1,4.8382,190.87,133.66,0.63905
1,1,4.8715,195.14,132.81,0.63598
1,1,4.9049,201.13,133.66,0.63341
1,1,4.9383,206.43,132.47,0.63287
1,1,4.9716,211.9,132.64,0.63485
1,1,5.005,216.51,133.66,0.63923
1,1,5.0384,221.64,131.95,0.6443
1,1,5.0717,225.06,131.95,0.65095
1,1,5.1051,231.05,131.95,0.6611
1,1,5.1385,234.47,132.81,0.66769
1,1,5.1718,238.74,132.81,0.67931
1,1,5.2052,244.73,132.81,0.67864
1,1,5.2386,248.15,131.1,0.68736
1,1,5.2719,253.05,129.69,0.69195
1,1,5.3053,256.69,129.39,0.71015
1,1,5.3387,260.44,129.32,0.72707
1,1,5.372,263.96,129.82,0.74244
