ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0,-498.2,-132.22,-1
1,1,0.033367,-493.07,-131.36,-1
1,1,0.066733,-487.94,-131.36,-1
1,1,0.1001,-482.81,-130.51,-1
1,1,0.13347,-476.82,-130.51,-1
1,1,0.16683,-471.69,-130.51,-1
1,1,0.2002,-465.45,-129.57,-1
1,1,0.23357,-459.73,-128.8,-1
1,1,0.26693,-453.74,-128.8,-1
1,1,0.3003,-447.76,-127.09,-1
1,1,0.33367,-442.63,-127.09,-1
1,1,0.36703,-436.64,-125.38,-1
1,1,0.4004,-431.51,-125.38,-1
1,1,0.43377,-424.67,-125.38,-1
1,1,0.46713,-419.55,-124.52,-1
1,1,0.5005,-414.42,-124.52,-1
1,1,0.53387,-407.58,-123.67,-1
1,1,0.56723,-402.45,-123.67,-1
1,1,0.6006,-397.32,-123.67,-1
1,1,0.63397,-390.48,-123.67,-1
1,1,0.66733,-384.49,-123.67,-1
1,1,0.7007,-378.51,-123.67,-1
1,1,0.73407,-372.52,-123.67,-1
1,1,0.76743,-367.39,-123.67,-1
1,1,0.8008,-360.56,-125.38,-1
1,1,0.83417,-355.43,-125.38,-1
1,1,0.86753,-349.44,-125.38,-1
1,1,0.9009,-344.31,-125.38,-1
1,1,0.93427,-339.18,-125.38,-1
1,1,0.96763,-334.05,-125.38,-1
1,1,1.001,-329.78,-125.38,-1
1,1,1.0344,-324.65,-125.38,-1
1,1,1.0677,-319.52,-125.38,-1
1,1,1.1011,-313.54,-125.38,-1
1,1,1.1345,-308.4,-125.38,-1
1,1,1.1678,-302.42,-125.38,-1
1,1,1.2012,-297.29,-125.38,-1
1,1,1.2346,-292.16,-125.38,-1
1,1,1.2679,-285.32,-125.38,-1
1,1,1.3013,-280.19,-125.38,-1
1,1,1.3347,-273.35,-123.67,-1
1,1,1.368,-268.22,-123.67,-1
1,1,1.4014,-263.1,-123.67,-1
1,1,1.4348,-257.96,-125.38,0.46561
1,1,1.4681,-251.98,-125.38,0.46698
1,1,1.5015,-246.85,-125.38,0.55551
1,1,1.5349,-241.72,-127.09,0.6391
1,1,1.5682,-236.59,-127.09,0.73645
1,1,1.6016,-231.46,-127.09,0.80306
1,1,1.635,-226.33,-128.8,0.85767
1,1,1.6683,-220.35,-128.8,0.86629
1,1,1.7017,-215.22,-130.51,0.97474
1,1,1.7351,-210.09,-132.22,0.90562
1,1,1.7684,-204.1,-132.22,0.96144
1,1,1.8018,-198.12,-133.93,0.9411
1,1,1.8352,-192.99,-133.93,0.98795
1,1,1.8685,-187.01,-134.78,1.0433
1,1,1.9019,-182.56,-135.12,0.96575
1,1,1.9353,-175.89,-134.78,1.052
1,1,1.9686,-171.53,-135.38,1.0455
1,1,2.002,-166.4,-134.18,1.0668
1,1,2.0354,-161.62,-134.01,1.0351
1,1,2.0687,-155.38,-133.93,1.0249
1,1,2.1021,-150.25,-133.93,1.0254
1,1,2.1355,-145.12,-133.93,1.044
1,1,2.1688,-139.99,-132.22,1.031
1,1,2.2022,-134.86,-132.22,1.0158
