ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0.13347,-496.06,-129.22,-1
1,1,0.16683,-491.53,-129.14,-1
1,1,0.2002,-487.08,-128.8,-1
1,1,0.23357,-481.95,-128.8,-1
1,1,0.26693,-477.68,-127.94,-1
1,1,0.3003,-473.4,-127.94,-1
1,1,0.33367,-469.13,-127.09,-1
1,1,0.36703,-464.86,-127.94,-1
1,1,0.4004,-459.73,-127.09,-1
1,1,0.43377,-456.31,-127.94,-1
1,1,0.46713,-451.18,-128.8,-1
1,1,0.5005,-446.9,-128.8,-1
1,1,0.53387,-442.63,-128.8,-1
1,1,0.56723,-437.93,-129.22,-1
1,1,0.6006,-433.65,-130.08,-1
1,1,0.63397,-428.52,-130.08,-1
1,1,0.66733,-422.96,-130.51,-1
1,1,0.7007,-419.12,-130.93,-1
1,1,0.73407,-413.99,-130.93,-1
1,1,0.76743,-409.71,-131.79,-1
1,1,0.8008,-404.58,-131.79,-1
1,1,0.83417,-400.31,-132.64,-1
1,1,0.86753,-395.18,-132.64,-1
1,1,0.9009,-390.9,-133.5,-1
1,1,0.93427,-386.2,-133.93,-1
1,1,0.96763,-381.5,-132.64,-1
1,1,1.001,-376.8,-133.07,-1
1,1,1.0344,-372.52,-132.22,-1
1,1,1.0677,-368.68,-131.79,-1
1,1,1.1011,-363.98,-132.22,-1
1,1,1.1345,-358.85,-130.51,-1
1,1,1.1678,-353.72,-130.51,-1
1,1,1.2012,-349.87,-130.08,-1
1,1,1.2346,-345.17,-129.65,-1
1,1,1.2679,-340.46,-129.22,-1
1,1,1.3013,-334.91,-128.8,-1
1,1,1.3347,-331.06,-128.37,-1
1,1,1.368,-325.93,-128.37,-1
1,1,1.4014,-321.66,-127.51,-1
1,1,1.4348,-316.1,-127.09,-1
1,1,1.4681,-312.68,-127.09,-1
1,1,1.5015,-307.55,-127.09,-1
1,1,1.5349,-304.13,-127.09,-1
1,1,1.5682,-299.51,-127.77,-1
1,1,1.6016,-294.73,-128.8,-1
1,1,1.635,-290.45,-128.8,-1
1,1,1.6683,-285.75,-129.22,-1
1,1,1.7017,-280.19,-130.51,-1
1,1,1.7351,-275.92,-130.51,-1
1,1,1.7684,-271.64,-131.36,-1
1,1,1.8018,-266.51,-132.22,-1
1,1,1.8352,-262.24,-132.22,-1
1,1,1.8685,-257.45,-133.24,-1
1,1,1.9019,-252.84,-133.93,-1
1,1,1.9353,-248.73,-133.58,-1
1,1,1.9686,-244.71,-133.5,-1
1,1,2.002,-240.01,-133.93,-1
1,1,2.0354,-234.88,-134.78,-1
1,1,2.0687,-231.04,-134.35,-1
1,1,2.1021,-225.48,-133.93,-1
1,1,2.1355,-222.06,-133.93,-1
1,1,2.1688,-216.93,-133.93,-1
1,1,2.2022,-212.65,-133.07,-1
