ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0,-498.2,128.53,-1
1,1,0.033367,-493.07,128.53,-1
1,1,0.066733,-487.08,127.68,-1
1,1,0.1001,-481.1,127.68,-1
1,1,0.13347,-475.97,128.53,-1
1,1,0.16683,-469.13,127.68,-1
1,1,0.2002,-464,128.53,-1
1,1,0.23357,-457.16,128.53,-1
1,1,0.26693,-451.18,129.39,-1
1,1,0.3003,-444.76,130.67,-1
1,1,0.33367,-438.69,130.41,-1
1,1,0.36703,-432.71,131.27,-1
1,1,0.4004,-427.24,131.1,-1
1,1,0.43377,-420.74,131.27,-1
1,1,0.46713,-415.61,131.27,-1
1,1,0.5005,-411,131.1,-1
1,1,0.53387,-405.87,131.1,-1
1,1,0.56723,-399.88,130.24,-1
1,1,0.6006,-394.75,129.39,-1
1,1,0.63397,-389.62,127.68,-1
1,1,0.66733,-384.49,127.68,-1
1,1,0.7007,-379.36,126.82,-1
1,1,0.73407,-372.52,125.97,-1
1,1,0.76743,-367.39,124.26,-1
1,1,0.8008,-362.26,125.11,-1
1,1,0.83417,-355.43,123.4,-1
1,1,0.86753,-350.3,123.4,-1
1,1,0.9009,-345.59,122.98,-1
1,1,0.93427,-340.46,122.98,-1
1,1,0.96763,-335.25,123.23,-1
1,1,1.001,-329.78,123.4,-1
1,1,1.0344,-324.31,123.58,-1
1,1,1.0677,-319.52,124.26,-1
1,1,1.1011,-313.11,123.83,-1
1,1,1.1345,-308.4,124.26,-1
1,1,1.1678,-301.99,123.83,-1
1,1,1.2012,-295.15,124.69,-1
1,1,1.2346,-289.17,125.54,-1
1,1,1.2679,-282.76,126.82,-1
1,1,1.3013,-276.77,127.68,-1
1,1,1.3347,-270.79,127.68,-1
1,1,1.368,-264.8,128.53,-1
1,1,1.4014,-259.68,127.68,-1
1,1,1.4348,-255.06,126.65,-1
1,1,1.4681,-249.42,125.97,-1
1,1,1.5015,-245.11,125.47,-1
1,1,1.5349,-239.58,124.69,-1
1,1,1.5682,-234.03,124.26,-1
1,1,1.6016,-228.9,123.4,-1
1,1,1.635,-222.49,122.12,-1
1,1,1.6683,-216.42,121.52,-1
1,1,1.7017,-210.52,121.27,-1
1,1,1.7351,-204.62,119.3,-1
1,1,1.7684,-198.98,118.28,-1
1,1,1.8018,-192.56,117.85,-1
1,1,1.8352,-187.01,118.28,-1
1,1,1.8685,-181.02,117.42,-1
1,1,1.9019,-175.47,117.85,-1
1,1,1.9353,-170.34,118.7,-1
1,1,1.9686,-163.92,119.13,-1
1,1,2.002,-159.22,119.56,-1
1,1,2.0354,-153.66,119.99,-1
1,1,2.0687,-148.11,120.41,-1
1,1,2.1021,-141.7,120.84,-1
1,1,2.1355,-135.37,121.52,-1
1,1,2.1688,-129.3,122.98,-1
1,1,2.2022,-122.03,123.4,-1
1,1,2.2356,-114.77,124.69,-1
1,1,2.2689,-108.78,124.69,-1
1,1,2.3023,-102.8,125.54,-1
1,1,2.3357,-96.386,125.11,-1
1,1,2.369,-91.256,125.11,-1
1,1,2.4024,-86.127,125.11,-1
1,1,2.4358,-80.997,124.26,-1
1,1,2.4691,-75.013,123.4,-1
1,1,2.5025,-69.028,123.4,-1
1,1,2.5359,-63.899,122.55,-1
1,1,2.5692,-58.769,121.69,-1
1,1,2.6026,-53.64,119.99,-1
1,1,2.636,-46.8,119.13,-1
1,1,2.6693,-40.816,118.28,-1
1,1,2.7027,-34.831,117.42,-1
1,1,2.7361,-29.702,117.42,-1
1,1,2.7694,-21.153,116.57,-1
1,1,2.8028,-16.451,116.99,-1
1,1,2.8362,-12.176,117.85,-1
1,1,2.8695,-7.1322,118.1,-1
1,1,2.9029,-1.4897,119.13,-1
1,1,2.9363,4.4947,119.13,-1
1,1,2.9696,9.1968,120.41,-1
1,1,3.003,14.326,120.41,-1
1,1,3.0364,19.883,119.99,-1
1,1,3.0697,25.44,121.27,-1
1,1,3.1031,31.852,122.55,-1
1,1,3.1365,37.837,123.4,-1
1,1,3.1698,43.821,124.26,-1
1,1,3.2032,49.378,124.69,-1
1,1,3.2366,54.935,125.11,-1
1,1,3.2699,59.209,125.11,-1
1,1,3.3033,65.621,125.54,-1
1,1,3.3367,71.178,124.26,-1
1,1,3.37,76.308,124.26,-1
1,1,3.4034,81.437,122.55,-1
1,1,3.4368,86.567,121.69,-1
1,1,3.4701,92.124,121.27,-1
1,1,3.5035,97.51,120.5,-1
1,1,3.5369,103.67,119.13,-1
1,1,3.5702,108.37,118.7,-1
1,1,3.6036,114.35,117.85,-1
1,1,3.637,120.76,117.42,-1
1,1,3.6703,125.89,115.71,-1
1,1,3.7037,132.05,116.05,-1
1,1,3.7371,137.86,115.71,-1
1,1,3.7704,142.99,116.57,-1
1,1,3.8038,147.69,116.99,-1
1,1,3.8372,152.74,117.25,-1
1,1,3.8705,157.7,117.76,-1
1,1,3.9039,163.51,117.42,-1
1,1,3.9373,169.07,118.7,-1
1,1,3.9706,174.62,118.28,-1
1,1,4.004,180.61,119.13,-1
1,1,4.0374,186.59,119.13,-1
1,1,4.0707,192.24,120.16,-1
1,1,4.1041,197.71,120.84,-1
1,1,4.1375,204.55,121.69,-1
1,1,4.1708,209.33,121.87,-1
1,1,4.2042,213.44,122.38,-1
1,1,4.2376,217.8,122.12,-1
1,1,4.2709,222.14,122.6,-1
1,1,4.3043,228.91,122.12,-1
1,1,4.3377,234.04,122.12,-1
1,1,4.371,238.32,119.56,-1
1,1,4.4044,244.9,119.47,-1
1,1,4.4378,250.28,118.7,-1
1,1,4.4711,255.84,118.28,-1
1,1,4.5045,260.97,117.42,-1
1,1,4.5379,267.81,116.57,-1
1,1,4.5712,274.22,115.28,-1
1,1,4.6046,279.44,115.03,-1
1,1,4.638,284.91,114.86,-1
1,1,4.6713,290.89,114.86,-1
1,1,4.7047,296.02,114,-1
1,1,4.7381,302.01,115.71,-1
1,1,4.7714,306.71,116.14,-1
1,1,4.8048,312.26,116.57,-1
1,1,4.8382,316.97,116.99,-1
1,1,4.8715,321.24,117.85,-1
1,1,4.9049,326.37,117.85,-1
1,1,4.9383,331.93,119.13,-1
1,1,4.9716,338.34,119.56,-1
1,1,5.005,343.9,120.84,-1
1,1,5.0384,350.31,121.27,-1
1,1,5.0717,355.69,122.21,-1
1,1,5.1051,361.34,122.38,-1
1,1,5.1385,367.41,122.98,-1
1,1,5.1718,371.94,123.06,-1
1,1,5.2052,377.58,123.23,-1
1,1,5.2386,383.22,122.55,-1
1,1,5.2719,388.52,122.89,-1
1,1,5.3053,394.17,122.21,-1
1,1,5.3387,399.47,121.69,-1
1,1,5.372,404.6,121.69,-1
1,1,5.4054,409.3,120.41,-1
1,1,5.4388,415.28,119.56,-1
1,1,5.4721,419.99,118.28,-1
1,1,5.5055,425.97,117.42,-1
1,1,5.5389,431.95,115.71,-1
1,1,5.5722,437.94,115.71,-1
1,1,5.6056,444.35,115.28,-1
1,1,5.639,449.91,114.86,-1
1,1,5.6723,454.61,115.28,-1
1,1,5.7057,460.17,115.71,-1
1,1,5.7391,467.01,116.57,-1
1,1,5.7724,472.13,117.42,-1
1,1,5.8058,477.26,117.42,-1
1,1,5.8392,482.39,117.42,-1
1,1,5.8725,487.52,118.28,-1
1,1,5.9059,492.65,118.28,-1
1,1,5.9393,498.47,119.64,-1
2,1,0.23357,-499.91,-126.23,-1
2,1,0.26693,-494.78,-124.52,-1
2,1,0.3003,-489.65,-124.52,-1
2,1,0.33367,-483.24,-124.95,-1
2,1,0.36703,-478.53,-124.52,-1
2,1,0.4004,-472.55,-124.52,-1
2,1,0.43377,-467.42,-124.52,-1
2,1,0.46713,-461.01,-124.09,-1
2,1,0.5005,-455.45,-123.67,-1
2,1,0.53387,-450.32,-124.52,-1
2,1,0.56723,-444.17,-124.18,-1
2,1,0.6006,-439.21,-124.52,-1
2,1,0.63397,-434.08,-124.52,-1
2,1,0.66733,-427.24,-124.52,-1
2,1,0.7007,-421.25,-124.52,-1
2,1,0.73407,-415.27,-124.52,-1
2,1,0.76743,-410.14,-126.23,-1
2,1,0.8008,-405.01,-126.23,0.14765
2,1,0.83417,-399.88,-126.23,0.14475
2,1,0.86753,-393.9,-126.23,-1
2,1,0.9009,-387.91,-126.23,-1
2,1,0.93427,-382.78,-126.23,-1
2,1,0.96763,-377.65,-126.23,-1
2,1,1.001,-372.52,-126.23,-1
2,1,1.0344,-367.39,-126.23,-1
2,1,1.0677,-362.26,-124.52,-1
2,1,1.1011,-356.28,-124.52,-1
2,1,1.1345,-350.47,-125.04,-1
2,1,1.1678,-344.74,-124.95,-1
2,1,1.2012,-339.61,-124.95,-1
2,1,1.2346,-334.91,-124.52,-1
2,1,1.2679,-328.92,-123.67,-1
2,1,1.3013,-323.79,-122.81,-1
2,1,1.3347,-318.66,-122.81,0.14747
2,1,1.368,-313.54,-122.81,-1
2,1,1.4014,-307.21,-122.13,-1
2,1,1.4348,-302.42,-121.96,-1
2,1,1.4681,-297.12,-122.3,-1
2,1,1.5015,-292.16,-121.1,-1
2,1,1.5349,-286.18,-121.1,-1
2,1,1.5682,-281.05,-121.1,-1
2,1,1.6016,-275.06,-121.1,-1
2,1,1.635,-269.93,-121.1,-1
2,1,1.6683,-264.8,-121.1,-1
2,1,1.7017,-258.82,-121.1,-1
2,1,1.7351,-252.84,-121.1,-1
2,1,1.7684,-247.71,-121.1,0.16147
2,1,1.8018,-242.58,-121.1,-1
2,1,1.8352,-236.59,-121.96,0.16336
2,1,1.8685,-231.46,-122.81,0.16368
2,1,1.9019,-226.33,-122.81,-1
2,1,1.9353,-221.2,-122.81,-1
2,1,1.9686,-214.36,-122.81,-1
2,1,2.002,-209.24,-122.81,-1
2,1,2.0354,-204.1,-122.81,-1
2,1,2.0687,-198.98,-122.81,-1
2,1,2.1021,-193.85,-122.81,-1
2,1,2.1355,-187.43,-122.38,-1
2,1,2.1688,-182.73,-122.81,-1
2,1,2.2022,-176.75,-122.81,-1
2,1,2.2356,-171.62,-122.81,-1
2,1,2.2689,-166.49,-122.81,-1
2,1,2.3023,-160.68,-122.3,-1
2,1,2.3357,-154.95,-122.38,-1
2,1,2.369,-150.25,-121.96,-1
2,1,2.4024,-144.26,-121.96,-1
2,1,2.4358,-139.13,-121.1,-1
2,1,2.4691,-134,-121.1,-1
2,1,2.5025,-128.87,-121.1,-1
2,1,2.5359,-123.74,-121.1,-1
2,1,2.5692,-118.61,-121.1,-1
2,1,2.6026,-111.77,-121.1,-1
2,1,2.636,-106.65,-121.1,-1
2,1,2.6693,-101.52,-121.1,-1
2,1,2.7027,-96.386,-121.1,-1
2,1,2.7361,-91.256,-121.1,0.18974
2,1,2.7694,-86.127,-121.1,-1
2,1,2.8028,-80.142,-121.1,-1
2,1,2.8362,-75.013,-121.1,-1
2,1,2.8695,-69.456,-121.53,-1
2,1,2.9029,-63.899,-121.96,-1
2,1,2.9363,-58.769,-121.1,-1
2,1,2.9696,-53.64,-122.81,-1
2,1,3.003,-47.655,-122.81,-1
2,1,3.0364,-41.671,-122.81,-1
2,1,3.0697,-36.541,-122.81,-1
2,1,3.1031,-31.412,-122.81,-1
2,1,3.1365,-25.855,-123.24,-1
2,1,3.1698,-19.015,-124.09,-1
2,1,3.2032,-15.168,-123.67,-1
2,1,3.2366,-9.184,-123.67,-1
2,1,3.2699,-4.0545,-124.52,-1
2,1,3.3033,1.075,-124.52,-1
2,1,3.3367,6.632,-123.24,-1
2,1,3.37,11.762,-123.24,-1
2,1,3.4034,17.318,-124.52,-1
2,1,3.4368,22.448,-123.67,-1
2,1,3.4701,27.578,-123.67,-1
2,1,3.5035,33.135,-123.24,-1
2,1,3.5369,38.691,-122.81,-1
2,1,3.5702,43.821,-122.81,-1
2,1,3.6036,50.233,-122.39,-1
2,1,3.637,55.79,-122.81,-1
2,1,3.6703,60.919,-122.81,-1
2,1,3.7037,66.904,-122.81,-1
2,1,3.7371,72.033,-122.81,-1
2,1,3.7704,77.163,-122.81,-1
2,1,3.8038,82.292,-122.81,-1
2,1,3.8372,87.422,-122.81,-1
2,1,3.8705,92.551,-122.81,-1
2,1,3.9039,97.681,-122.81,-1
2,1,3.9373,102.81,-122.81,-1
2,1,3.9706,109.22,-122.38,-1
2,1,4.004,114.35,-122.39,-1
2,1,4.0374,119.91,-122.81,-1
2,1,4.0707,125.04,-122.81,-1
2,1,4.1041,130.17,-123.67,-1
2,1,4.1375,136.15,-123.67,-1
2,1,4.1708,142.14,-124.52,-1
2,1,4.2042,147.27,-122.81,-1
2,1,4.2376,153.68,-123.24,-1
2,1,4.2709,159.24,-122.81,-1
2,1,4.3043,164.19,-123.33,-1
2,1,4.3377,169.49,-122.81,-1
2,1,4.371,174.62,-121.96,-1
2,1,4.4044,179.75,-121.96,-1
2,1,4.4378,184.88,-122.81,-1
2,1,4.4711,190.01,-122.81,-1
2,1,4.5045,194.29,-122.81,-1
2,1,4.5379,200.27,-122.81,-1
2,1,4.5712,205.4,-122.81,-1
2,1,4.6046,210.53,-121.1,-1
2,1,4.638,215.66,-121.1,-1
2,1,4.6713,220.79,-121.1,-1
2,1,4.7047,226.77,-121.1,-1
2,1,4.7381,232.76,-119.39,-1
2,1,4.7714,237.03,-119.39,-1
2,1,4.8048,242.16,-119.39,-1
2,1,4.8382,249,-119.39,-1
2,1,4.8715,252.42,-119.39,-1
2,1,4.9049,257.12,-119.82,-1
2,1,4.9383,262.68,-120.25,-1
2,1,4.9716,266.95,-120.25,-1
2,1,5.005,272.94,-119.39,-1
2,1,5.0384,277.21,-121.1,-1
