ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0,-497.34,-15.092,-1
1,1,0.033367,-492.21,-15.092,-1
1,1,0.066733,-488.01,-14.716,-1
1,1,0.1001,-482.13,-13.895,-1
1,1,0.13347,-477,-13.895,-1
1,1,0.16683,-472.98,-14.665,-1
1,1,0.2002,-468.1,-14.579,-1
1,1,0.23357,-462.29,-14.237,-1
1,1,0.26693,-457.16,-14.237,-1
1,1,0.3003,-451.18,-15.092,-1
1,1,0.33367,-445.53,-13.553,-1
1,1,0.36703,-440.65,-13.777,-1
1,1,0.4004,-434.93,-13.382,-1
1,1,0.43377,-429.8,-12.528,-1
1,1,0.46713,-424.67,-12.528,0.090614
1,1,0.5005,-419.55,-12.528,0.093044
1,1,0.53387,-413.99,-12.1,0.094109
1,1,0.56723,-408.86,-12.1,0.096691
1,1,0.6006,-405.01,-12.528,0.096339
1,1,0.63397,-399.37,-11.844,0.098328
1,1,0.66733,-394.24,-11.844,0.099692
1,1,0.7007,-389.45,-12.87,0.10172
1,1,0.73407,-385.01,-13.211,0.10331
1,1,0.76743,-379.7,-13.553,0.10576
1,1,0.8008,-375.52,-14.665,0.10683
1,1,0.83417,-370.16,-14.369,0.10921
1,1,0.86753,-364.83,-15.947,0.11135
1,1,0.9009,-359.7,-15.947,0.11372
1,1,0.93427,-355,-17.23,0.11554
1,1,0.96763,-349.44,-18.512,0.11667
1,1,1.001,-344.31,-18.512,0.11959
1,1,1.0344,-339.18,-20.222,0.12199
1,1,1.0677,-334.05,-20.222,0.12349
1,1,1.1011,-328.92,-20.222,0.12735
1,1,1.1345,-324.22,-20.649,0.12865
1,1,1.1678,-319.09,-20.649,0.13069
1,1,1.2012,-313.54,-20.222,0.13385
1,1,1.2346,-308.83,-20.649,0.13571
1,1,1.2679,-303.7,-20.649,0.1359
1,1,1.3013,-297.29,-20.222,0.13929
1,1,1.3347,-292.69,-20.288,0.14082
1,1,1.368,-287.03,-20.222,0.14255
1,1,1.4014,-281.73,-19.709,0.14644
1,1,1.4348,-276.77,-20.222,0.14879
1,1,1.4681,-271.22,-19.794,0.15078
1,1,1.5015,-265.83,-19.025,0.15257
1,1,1.5349,-260.53,-19.367,0.15606
1,1,1.5682,-255.4,-18.512,0.15953
1,1,1.6016,-250.53,-18.117,0.16343
1,1,1.635,-245.14,-18.512,0.16612
1,1,1.6683,-239.16,-19.367,0.17045
1,1,1.7017,-234.88,-18.512,0.17517
1,1,1.7351,-230.61,-18.512,0.17899
1,1,1.7684,-225.14,-18.341,0.183
1,1,1.8018,-220.22,-18.709,0.18791
1,1,1.8352,-215.22,-19.367,0.1933
1,1,1.8685,-210.09,-20.222,0.2
1,1,1.9019,-205.39,-19.794,0.205
1,1,1.9353,-199.83,-20.222,0.20982
1,1,1.9686,-195.04,-20.393,0.21629
1,1,2.002,-189.74,-20.735,0.22144
1,1,2.0354,-184.87,-21.504,0.2292
1,1,2.0687,-179.31,-21.932,0.23195
1,1,2.1021,-174.53,-22.103,0.23947
1,1,2.1355,-169.91,-22.787,0.2461
1,1,2.1688,-164.78,-22.787,0.25268
1,1,2.2022,-159.22,-22.359,0.26003
1,1,2.2356,-154.52,-21.932,0.26807
1,1,2.2689,-150.25,-21.932,0.27829
1,1,2.3023,-145.12,-21.932,0.28949
1,1,2.3357,-140.67,-21.419,0.2974
1,1,2.369,-134.69,-21.229,0.31114
1,1,2.4024,-130.75,-21.59,0.32834
1,1,2.4358,-126.31,-21.932,0.33989
1,1,2.4691,-121.61,-21.504,0.35318
1,1,2.5025,-117.25,-20.393,0.36873
1,1,2.5359,-112.2,-20.649,0.38603
1,1,2.5692,-107.5,-20.222,0.3979
1,1,2.6026,-102.83,-19.104,0.42133
1,1,2.636,-98.523,-18.939,0.44041
1,1,2.6693,-93.821,-18.512,0.45111
1,1,2.7027,-87.837,-18.512,0.47509
1,1,2.7361,-83.562,-17.657,0.49617
1,1,2.7694,-78.432,-17.657,0.52413
1,1,2.8028,-74.5,-17.828,0.55711
1,1,2.8362,-69.883,-17.657,0.58161
1,1,2.8695,-63.899,-17.657,0.625
1,1,2.9029,-60.479,-17.657,0.65946
1,1,2.9363,-55.35,-17.657,0.68781
1,1,2.9696,-50.878,-17.526,0.72476
1,1,3.003,-46.373,-18.084,0.75777
1,1,3.0364,-41.329,-18.341,0.8068
1,1,3.0697,-36.969,-18.939,0.84883
1,1,3.1031,-32.096,-19.709,0.87321
1,1,3.1365,-26.724,-20.052,0.89888
1,1,3.1698,-21.81,-20.666,0.92375
1,1,3.2032,-16.536,-20.051,0.94664
1,1,3.2366,-12.604,-21.077,0.94397
1,1,3.2699,-7.4742,-21.077,0.92055
1,1,3.3033,-2.3447,-21.077,0.89551
1,1,3.3367,2.3574,-21.504,0.85616
1,1,3.37,7.7434,-20.735,0.84285
1,1,3.4034,11.762,-20.649,0.80372
1,1,3.4368,16.891,-20.649,0.78253
1,1,3.4701,21.593,-20.222,0.74392
1,1,3.5035,26.295,-19.794,0.72366
1,1,3.5369,31.425,-18.939,0.71526
1,1,3.5702,35.699,-18.939,0.69745
1,1,3.6036,40.401,-18.512,0.67929
1,1,3.637,45.531,-18.512,0.67611
1,1,3.6703,49.634,-17.315,0.67568
1,1,3.7037,54.935,-16.802,0.6971
1,1,3.7371,60.064,-14.237,0.72599
1,1,3.7704,65.621,-13.81,0.74782
1,1,3.8038,70.389,-13.054,0.79383
1,1,3.8372,75.88,-12.1,0.85478
1,1,3.8705,80.753,-11.16,0.90885
1,1,3.9039,85.712,-10.818,0.97658
1,1,3.9373,91.696,-10.818,1.0474
1,1,3.9706,96.826,-10.818,1.1362
1,1,4.004,101.96,-10.818,1.2285
1,1,4.0374,107.08,-9.9628,1.3088
1,1,4.0707,112.21,-10.818,1.3735
1,1,4.1041,117.34,-10.818,1.3842
1,1,4.1375,122.47,-10.818,1.4217
1,1,4.1708,127.6,-10.818,1.4063
1,1,4.2042,132.73,-10.818,1.3874
1,1,4.2376,137.86,-10.818,1.3545
1,1,4.2709,142.82,-10.476,1.3555
1,1,4.3043,148.98,-10.818,1.3338
1,1,4.3377,154.1,-10.818,1.3389
1,1,4.371,159.75,-10.134,1.3238
1,1,4.4044,165.56,-9.7918,1.2736
1,1,4.4378,171.2,-9.1078,1.235
1,1,4.4711,176.33,-9.1078,1.1855
1,1,4.5045,182.32,-9.1078,1.1844
1,1,4.5379,187.45,-9.1078,1.1772
1,1,4.5712,192.92,-8.0819,1.1614
1,1,4.6046,198.56,-7.398,1.1773
1,1,4.638,204.54,-7.398,1.1954
1,1,4.6713,209.68,-7.398,1.2071
1,1,4.7047,216.51,-5.6882,1.2238
1,1,4.7381,223.35,-5.6882,1.2334
1,1,4.7714,227.63,-4.8332,1.2358
1,1,4.8048,233.1,-4.6623,1.2307
1,1,4.8382,238.74,-3.9783,1.2108
1,1,4.8715,245.24,-3.2944,1.1382
1,1,4.9049,250.88,-2.6105,1.0744
1,1,4.9383,256.27,-2.6959,1.0503
1,1,4.9716,261.82,-2.2685,0.9985
1,1,5.005,268.66,-2.2685,0.93197
1,1,5.0384,274.48,-1.9265,0.90922
1,1,5.0717,280.63,-2.2685,0.872
1,1,5.1051,286.11,-2.0975,0.85058
1,1,5.1385,291.32,-2.6959,0.81643
1,1,5.1718,296.88,-3.1234,0.77078
1,1,5.2052,302.01,-3.9783,0.71258
1,1,5.2386,307.31,-4.3203,-1
1,1,5.2719,313.2,-5.0897,-1
1,1,5.3053,318.59,-6.3721,-1
1,1,5.3387,324.23,-6.5431,0.61162
1,1,5.372,330.22,-7.398,0.5738
1,1,5.4054,335.35,-7.398,0.52653
1,1,5.4388,340.9,-7.8255,0.6556
1,1,5.4721,346.46,-8.2529,0.65942
1,1,5.5055,351.76,-7.74,0.66506
1,1,5.5389,357.06,-8.0819,0.67075
1,1,5.5722,362.19,-8.0819,0.67935
1,1,5.6056,366.98,-8.2529,0.6941
1,1,5.639,371.68,-7.8255,0.71062
1,1,5.6723,376.38,-8.2529,0.72961
1,1,5.7057,380.66,-7.398,0.75841
1,1,5.7391,385.79,-7.398,0.78356
1,1,5.7724,390.92,-7.398,0.82496
1,1,5.8058,396.05,-7.398,-1
1,1,5.8392,401.35,-6.0301,-1
1,1,5.8725,406.31,-5.6882,-1
1,1,5.9059,412.29,-5.6882,-1
1,1,5.9393,417.76,-4.6623,-1
1,1,5.9726,424.26,-3.9783,-1
1,1,6.006,429.39,-3.9783,-1
1,1,6.0394,434.95,-3.5509,-1
1,1,6.0727,440.5,-3.1234,-1
1,1,6.1061,445.97,-2.9524,-1
1,1,6.1395,451.16,-2.9151,-1
1,1,6.1728,456.76,-2.1488,-1
1,1,6.2062,463.5,-4.3717,-1
1,1,6.2396,465.19,-4.3807,-1
1,1,6.2729,471.28,-5.6882,-1
1,1,6.3063,474.7,-1.4136,-1
1,1,6.3397,481.54,-2.2685,-1
1,1,6.373,487.95,-2.6959,-1
1,1,6.4064,493.34,-2.7815,-1
1,1,6.4398,499.66,-2.6105,-1
2,1,0.13347,-499.91,125.97,-1
2,1,0.16683,-495.12,127,-1
2,1,0.2002,-490.5,127.68,-1
2,1,0.23357,-485.99,125.3,-1
2,1,0.26693,-481.1,125.11,-1
2,1,0.3003,-475.97,124.26,-1
2,1,0.33367,-470.91,125.49,-1
2,1,0.36703,-466.14,124.69,-1
2,1,0.4004,-460.71,123.6,-1
2,1,0.43377,-456.82,123.23,-1
2,1,0.46713,-451.18,122.55,-1
2,1,0.5005,-447.36,122.29,-1
2,1,0.53387,-439.63,120.41,-1
2,1,0.56723,-434.59,119.3,-1
2,1,0.6006,-429.29,118.96,-1
2,1,0.63397,-425.53,119.13,-1
2,1,0.66733,-419.72,118.62,-1
2,1,0.7007,-415.7,119.56,-1
2,1,0.73407,-411,119.13,-1
2,1,0.76743,-406.29,120.41,-1
2,1,0.8008,-402.02,120.41,-1
2,1,0.83417,-397.32,119.13,-1
2,1,0.86753,-392.19,121.69,-1
2,1,0.9009,-386.55,120.67,-1
2,1,0.93427,-381.59,121.01,-1
2,1,0.96763,-376.46,121.01,-1
2,1,1.001,-371.67,122.55,-1
2,1,1.0344,-366.11,122.98,-1
2,1,1.0677,-360.56,123.4,-1
2,1,1.1011,-355,124.69,-1
2,1,1.1345,-348.93,124.94,-1
2,1,1.1678,-344.31,125.97,-1
2,1,1.2012,-338.76,126.4,-1
2,1,1.2346,-333.2,126.82,0.39388
2,1,1.2679,-329.78,128.53,0.40058
2,1,1.3013,-325.5,125.97,0.41085
2,1,1.3347,-321.23,125.97,0.41764
2,1,1.368,-316.95,125.97,0.42915
2,1,1.4014,-312.68,125.97,0.42223
2,1,1.4348,-306.69,125.97,0.42083
2,1,1.4681,-300.88,126.31,0.43058
2,1,1.5015,-296.44,125.97,0.43131
2,1,1.5349,-292.16,124.26,0.44326
2,1,1.5682,-287.03,125.11,0.44174
2,1,1.6016,-281.9,124.26,0.45227
2,1,1.635,-277.56,123.93,0.4439
2,1,1.6683,-271.64,123.4,0.44137
2,1,1.7017,-266.34,122.21,0.4486
2,1,1.7351,-262.24,122.55,0.44767
2,1,1.7684,-257.11,120.84,0.44165
2,1,1.8018,-251.64,121.01,0.45211
2,1,1.8352,-247.71,120.84,0.45337
2,1,1.8685,-242.58,120.84,0.46381
2,1,1.9019,-237.88,121.27,0.46183
2,1,1.9353,-232.83,121.01,0.47452
2,1,1.9686,-228.9,121.69,0.47582
2,1,2.002,-224.11,121.52,0.48945
2,1,2.0354,-220.35,122.55,0.50046
2,1,2.0687,-216.07,123.4,0.49447
2,1,2.1021,-210.94,123.4,0.49429
2,1,2.1355,-205.75,123.73,0.50759
2,1,2.1688,-201.54,124.26,0.50811
2,1,2.2022,-195.98,124.69,0.5206
2,1,2.2356,-192.14,124.26,0.53267
2,1,2.2689,-187.18,127.17,0.5352
2,1,2.3023,-181.02,127.68,0.5489
2,1,2.3357,-177.6,127.68,0.55413
2,1,2.369,-170.34,129.82,0.56284
2,1,2.4024,-165.21,131.53,0.57349
2,1,2.4358,-160.08,132.38,0.58936
2,1,2.4691,-155.38,132.81,0.60808
2,1,2.5025,-151.1,133.66,0.61971
2,1,2.5359,-147.68,132.81,0.63775
2,1,2.5692,-142.55,133.66,0.64117
2,1,2.6026,-138.7,133.24,0.66449
2,1,2.636,-135.36,133.11,0.67629
2,1,2.6693,-130.58,132.81,0.67693
2,1,2.7027,-125.97,132.13,0.69425
2,1,2.7361,-122.38,132.13,0.70999
2,1,2.7694,-118.19,132.38,0.71633
2,1,2.8028,-113.48,131.95,0.72166
2,1,2.8362,-109.8,131.49,0.71661
2,1,2.8695,-104.94,129.39,0.74188
