ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0,-499.57,-119.22,-1
1,1,0.033367,-493.92,-119.39,-1
1,1,0.066733,-489.31,-119.22,-1
1,1,0.1001,-482.81,-118.54,-1
1,1,0.13347,-477.68,-118.54,-1
1,1,0.16683,-471.35,-117.51,-1
1,1,0.2002,-466.99,-118.11,-1
1,1,0.23357,-460.58,-117.68,-1
1,1,0.26693,-455.02,-117.26,-1
1,1,0.3003,-448.88,-116.43,-1
1,1,0.33367,-442.63,-115.97,-1
1,1,0.36703,-437.5,-115.97,-1
1,1,0.4004,-431.51,-115.12,-1
1,1,0.43377,-425.53,-114.26,-1
1,1,0.46713,-419.97,-113.83,-1
1,1,0.5005,-414.42,-114.26,-1
1,1,0.53387,-408.43,-113.41,-1
1,1,0.56723,-402.45,-114.26,-1
1,1,0.6006,-397.32,-114.26,-1
1,1,0.63397,-392.62,-112.98,-1
1,1,0.66733,-387.06,-113.41,-1
1,1,0.7007,-380.22,-114.26,-1
1,1,0.73407,-375.09,-113.41,-1
1,1,0.76743,-369.96,-113.41,-1
1,1,0.8008,-363.12,-114.26,-1
1,1,0.83417,-357.99,-113.41,-1
1,1,0.86753,-351.15,-113.41,-1
1,1,0.9009,-345.17,-114.26,-1
1,1,0.93427,-339.18,-114.26,-1
1,1,0.96763,-333.2,-114.26,-1
1,1,1.001,-327.21,-114.26,-1
1,1,1.0344,-321.23,-114.26,0.19175
1,1,1.0677,-315.25,-114.26,0.19643
1,1,1.1011,-310.12,-113.41,0.19877
1,1,1.1345,-304.13,-112.55,0.20254
1,1,1.1678,-299,-112.55,0.20631
1,1,1.2012,-293.02,-111.7,0.21147
1,1,1.2346,-287.46,-111.27,0.21659
1,1,1.2679,-281.84,-110.51,0.21693
1,1,1.3013,-275.75,-110.33,0.22086
1,1,1.3347,-269.93,-109.99,0.22676
1,1,1.368,-265.23,-109.56,0.22977
1,1,1.4014,-258.65,-108.62,0.2331
1,1,1.4348,-253.86,-107.94,0.23751
1,1,1.4681,-247.71,-107.42,0.24198
1,1,1.5015,-242.58,-107.42,0.24676
1,1,1.5349,-237.02,-107,0.25255
1,1,1.5682,-231.46,-107.42,0.2578
1,1,1.6016,-225.91,-107.85,0.26464
1,1,1.635,-220.78,-107.85,0.27088
1,1,1.6683,-215.39,-107.94,0.27895
1,1,1.7017,-210.52,-108.71,0.28642
1,1,1.7351,-204.1,-109.13,0.29525
1,1,1.7684,-198.12,-109.99,0.30176
1,1,1.8018,-192.93,-110.51,0.31354
1,1,1.8352,-187.18,-111.36,0.32227
1,1,1.8685,-181.02,-113.41,0.33466
1,1,1.9019,-175.47,-113.83,0.34073
1,1,1.9353,-169.05,-115.12,0.35366
1,1,1.9686,-163.07,-116.83,0.36219
1,1,2.002,-156.66,-117.26,0.37271
1,1,2.0354,-150.67,-118.11,0.38042
1,1,2.0687,-144.69,-118.97,0.39058
1,1,2.1021,-138.28,-119.39,0.40181
1,1,2.1355,-132.72,-119.82,0.41253
1,1,2.1688,-126.31,-120.25,0.42546
1,1,2.2022,-120.32,-120.25,0.43175
1,1,2.2356,-113.48,-120.25,0.4441
1,1,2.2689,-107.73,-120.62,0.45561
1,1,2.3023,-102.37,-120.25,0.46988
1,1,2.3357,-97.241,-120.25,0.48359
1,1,2.369,-90.572,-119.91,0.49654
1,1,2.4024,-84.417,-120.25,0.51078
1,1,2.4358,-79.287,-120.25,0.52329
1,1,2.4691,-72.448,-120.25,0.54023
1,1,2.5025,-65.609,-119.39,0.55632
1,1,2.5359,-58.769,-120.25,0.57498
1,1,2.5692,-53.212,-119.82,0.59664
1,1,2.6026,-46.8,-120.25,0.6194
1,1,2.636,-41.671,-120.25,0.64076
1,1,2.6693,-36.541,-120.25,0.66781
1,1,2.7027,-30.57,-120.5,0.69508
1,1,2.7361,-22.008,-121.1,0.72749
1,1,2.7694,-18.542,-122.23,0.74438
1,1,2.8028,-12.604,-121.1,0.77657
1,1,2.8362,-7.7542,-122.33,0.8052
1,1,2.8695,-2.1737,-123.33,0.82879
1,1,2.9029,2.7848,-123.67,0.85387
1,1,2.9363,9.2822,-124.69,0.85311
1,1,2.9696,14.754,-125.38,0.83674
1,1,3.003,20.311,-125.8,0.80935
1,1,3.0364,27.15,-126.66,0.79419
1,1,3.0697,32.707,-126.23,0.78963
1,1,3.1031,39.119,-126.66,0.78391
1,1,3.1365,44.676,-126.23,0.78473
1,1,3.1698,50.233,-125.8,0.78102
1,1,3.2032,56.217,-126.66,0.77928
1,1,3.2366,61.774,-126.23,0.78224
1,1,3.2699,67.331,-125.8,0.80353
1,1,3.3033,72.375,-126.4,0.81357
1,1,3.3367,79.727,-125.38,0.83838
1,1,3.37,84.43,-125.8,0.84793
1,1,3.4034,89.987,-125.38,0.86508
1,1,3.4368,97.155,-124.59,0.87401
1,1,3.4701,102.64,-124.18,0.89799
1,1,3.5035,107.94,-125.38,0.91168
1,1,3.5369,114.35,-124.09,0.93674
1,1,3.5702,119.91,-125.38,0.95928
1,1,3.6036,125.89,-125.38,0.97323
1,1,3.637,131.88,-125.38,0.96135
1,1,3.6703,137.01,-125.38,0.93466
1,1,3.7037,142.14,-125.38,0.86734
1,1,3.7371,147.27,-126.23,0.79046
1,1,3.7704,153.25,-127.09,0.74673
1,1,3.8038,159.24,-127.09,0.70225
1,1,3.8372,163.51,-127.09,0.6699
1,1,3.8705,169.49,-127.09,0.65036
1,1,3.9039,174.62,-127.09,0.64212
1,1,3.9373,179.75,-128.8,0.63513
1,1,3.9706,184.88,-128.8,0.63687
1,1,4.004,191.29,-129.22,0.63956
1,1,4.0374,197.02,-129.14,0.64191
1,1,4.0707,202.84,-129.65,0.6507
1,1,4.1041,208.82,-129.65,0.66078
1,1,4.1375,214.63,-129.31,0.68161
1,1,4.1708,219.76,-129.99,0.69504
1,1,4.2042,225.49,-130.08,0.71152
1,1,4.2376,231.9,-130.51,0.73766
1,1,4.2709,237.03,-130.51,0.76364
1,1,4.3043,242.16,-130.51,0.79658
1,1,4.3377,248.15,-130.51,0.83402
1,1,4.371,253.28,-130.51,0.87143
1,1,4.4044,259.26,-129.65,0.91571
1,1,4.4378,264.73,-129.48,0.96109
1,1,4.4711,270.03,-129.48,0.99936
1,1,4.5045,275.93,-129.22,1.0429
1,1,4.5379,281.49,-128.8,1.0757
1,1,4.5712,287.05,-128.37,1.1225
1,1,4.6046,292.6,-128.8,1.1306
1,1,4.638,298.59,-128.8,1.1496
1,1,4.6713,303.72,-128.8,1.174
1,1,4.7047,309.53,-128.45,1.2015
1,1,4.7381,313.98,-128.8,1.263
1,1,4.7714,319.96,-128.8,1.3004
1,1,4.8048,325.09,-128.8,1.347
1,1,4.8382,330.02,-128.93,1.3956
1,1,4.8715,334.49,-128.8,1.4248
1,1,4.9049,339.62,-128.8,1.4664
1,1,4.9383,345.18,-130.08,1.5073
1,1,4.9716,349.88,-130.51,1.5471
1,1,5.005,355.01,-130.51,1.594
1,1,5.0384,361,-132.22,1.5876
1,1,5.0717,367.15,-131.7,1.6043
1,1,5.1051,372.11,-132.22,1.5196
1,1,5.1385,378.61,-132.39,-1
1,1,5.1718,383.65,-132.64,-1
1,1,5.2052,389.21,-133.07,-1
1,1,5.2386,395.19,-133.07,-1
1,1,5.2719,400.32,-133.07,-1
1,1,5.3053,404.6,-133.07,-1
1,1,5.3387,411.01,-132.64,-1
1,1,5.372,415.71,-133.07,1.6752
1,1,5.4054,420.84,-132.22,1.6863
1,1,5.4388,425.11,-132.22,1.6893
1,1,5.4721,431.95,-132.22,-1
1,1,5.5055,437.08,-132.22,-1
1,1,5.5389,441.36,-132.22,-1
1,1,5.5722,447.43,-130.76,-1
1,1,5.6056,455.04,-130.51,-1
1,1,5.639,459.31,-130.51,-1
1,1,5.6723,465.72,-130.08,-1
1,1,5.7057,472.13,-129.65,-1
1,1,5.7391,476.12,-130.26,-1
1,1,5.7724,484.96,-131.36,-1
1,1,5.8058,490.94,-131.36,-1
1,1,5.8392,496.93,-131.36,-1
2,1,0.16683,-498.2,-18.512,-1
2,1,0.2002,-493.07,-17.657,-1
2,1,0.23357,-487.63,-17.447,-1
2,1,0.26693,-481.1,-16.802,-1
2,1,0.3003,-475.11,-16.802,-1
2,1,0.33367,-469.99,-16.802,-1
2,1,0.36703,-465.03,-15.605,-1
2,1,0.4004,-458.02,-15.092,-1
2,1,0.43377,-453.06,-14.579,-1
2,1,0.46713,-446.05,-14.237,-1
2,1,0.5005,-441.43,-13.211,-1
2,1,0.53387,-435.62,-12.87,-1
2,1,0.56723,-430.23,-13.81,-1
2,1,0.6006,-423.82,-13.382,-1
2,1,0.63397,-417.83,-13.382,-1
2,1,0.66733,-411.85,-13.382,-1
2,1,0.7007,-405.87,-12.528,-1
2,1,0.73407,-399.54,-13.553,-1
2,1,0.76743,-393.04,-13.382,-1
2,1,0.8008,-387.13,-13.821,-1
2,1,0.83417,-380.22,-15.092,-1
2,1,0.86753,-374.23,-15.092,-1
2,1,0.9009,-368.68,-14.665,-1
2,1,0.93427,-362.95,-15.605,-1
2,1,0.96763,-355.6,-15.605,-1
2,1,1.001,-350.81,-15.263,-1
2,1,1.0344,-344.31,-16.802,0.17102
2,1,1.0677,-338.76,-14.665,0.17201
2,1,1.1011,-332.77,-15.52,0.17423
2,1,1.1345,-326.79,-14.665,0.17669
2,1,1.1678,-321.66,-14.665,0.17768
2,1,1.2012,-315.25,-14.237,0.17741
2,1,1.2346,-308.75,-13.553,0.18002
2,1,1.2679,-302.42,-13.382,0.18268
2,1,1.3013,-297.46,-12.185,0.18577
2,1,1.3347,-291.73,-12.955,0.186
2,1,1.368,-285.66,-11.844,0.19096
2,1,1.4014,-279.34,-11.673,0.19368
2,1,1.4348,-274.21,-10.818,0.1966
2,1,1.4681,-268.05,-11.16,0.19966
2,1,1.5015,-262.75,-10.647,0.20417
2,1,1.5349,-257.11,-10.818,0.20763
2,1,1.5682,-251.47,-10.134,0.21005
2,1,1.6016,-246.17,-10.476,0.214
2,1,1.635,-240.53,-10.647,0.21652
2,1,1.6683,-234.88,-10.818,0.21978
2,1,1.7017,-229.75,-10.818,0.22428
2,1,1.7351,-223.6,-11.16,0.22729
2,1,1.7684,-217.7,-12.321,0.23142
2,1,1.8018,-212.57,-12.321,0.23425
2,1,1.8352,-206.46,-12.616,0.23745
2,1,1.8685,-201.37,-12.87,0.24064
2,1,1.9019,-194.7,-13.382,0.24824
2,1,1.9353,-190.09,-13.211,0.25071
2,1,1.9686,-183.59,-12.528,0.25661
2,1,2.002,-177.77,-12.185,0.26092
2,1,2.0354,-171.62,-11.673,0.26766
2,1,2.0687,-166.49,-10.818,0.27335
2,1,2.1021,-160.93,-11.245,0.27965
2,1,2.1355,-155.38,-10.818,0.28707
2,1,2.1688,-149.82,-10.39,0.2926
2,1,2.2022,-142.55,-9.9628,0.2994
2,1,2.2356,-137.85,-8.6804,0.30479
2,1,2.2689,-130.58,-7.398,0.31217
2,1,2.3023,-124.6,-6.5431,0.32185
2,1,2.3357,-119.01,-5.4251,0.33291
2,1,2.369,-113.48,-5.6882,0.3447
2,1,2.4024,-108.24,-4.2731,0.35863
2,1,2.4358,-103.22,-3.9783,0.36928
2,1,2.4691,-96.899,-2.9524,0.38863
2,1,2.5025,-92.111,-3.9783,0.40303
2,1,2.5359,-86.127,-3.1234,0.42051
2,1,2.5692,-80.997,-2.2685,0.43637
2,1,2.6026,-74.158,-2.2685,0.45934
2,1,2.636,-69.028,-3.1234,0.48039
2,1,2.6693,-62.189,-2.2685,0.506
