ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0.66733,-496.49,-123.67,-1
1,1,0.7007,-491.26,-123.17,-1
1,1,0.73407,-487.08,-122.81,-1
1,1,0.76743,-482.81,-122.81,-1
1,1,0.8008,-477.68,-122.81,-1
1,1,0.83417,-472.55,-121.96,-1
1,1,0.86753,-468.1,-122.47,-1
1,1,0.9009,-464,-121.96,-1
1,1,0.93427,-459.73,-121.1,-1
1,1,0.96763,-454.17,-121.53,-1
1,1,1.001,-450.32,-121.1,-1
1,1,1.0344,-446.9,-121.96,-1
1,1,1.0677,-441.35,-122.38,-1
1,1,1.1011,-435.79,-121.96,-1
1,1,1.1345,-431.51,-122.81,-1
1,1,1.1678,-425.96,-122.38,-1
1,1,1.2012,-422.11,-122.81,-1
1,1,1.2346,-416.98,-122.81,-1
1,1,1.2679,-411.85,-122.81,-1
1,1,1.3013,-406.72,-122.81,-1
1,1,1.3347,-400.74,-124.52,-1
1,1,1.368,-396.03,-124.95,-1
1,1,1.4014,-392.19,-124.52,-1
1,1,1.4348,-387.06,-124.52,-1
1,1,1.4681,-380.65,-124.95,-1
1,1,1.5015,-376.8,-124.52,-1
1,1,1.5349,-372.1,-124.95,-1
1,1,1.5682,-367.39,-123.67,-1
1,1,1.6016,-362.26,-124.52,0.57972
1,1,1.635,-357.56,-124.09,0.58045
1,1,1.6683,-352.43,-124.09,0.58901
1,1,1.7017,-347.73,-122.81,0.61209
1,1,1.7351,-343.46,-122.81,0.66611
1,1,1.7684,-338.33,-121.96,0.66916
1,1,1.8018,-333.2,-122.81,0.6486
1,1,1.8352,-328.07,-122.81,0.64395
1,1,1.8685,-322.51,-122.38,0.65306
1,1,1.9019,-318.15,-122.13,0.69213
1,1,1.9353,-313.54,-121.1,0.69209
1,1,1.9686,-308.4,-121.1,0.69209
1,1,2.002,-303.28,-121.1,0.65093
1,1,2.0354,-298.15,-121.1,0.63372
1,1,2.0687,-293.02,-121.1,0.66172
1,1,2.1021,-288.91,-121.61,0.65741
1,1,2.1355,-284.47,-121.1,0.66077
1,1,2.1688,-279.34,-121.96,0.65288
1,1,2.2022,-274.21,-122.81,0.65602
1,1,2.2356,-269.08,-122.81,0.67558
1,1,2.2689,-265.66,-122.81,0.67722
1,1,2.3023,-260.53,-122.81,0.67717
1,1,2.3357,-255.06,-123.84,0.68723
1,1,2.369,-250.27,-124.52,0.69295
1,1,2.4024,-245.14,-124.52,0.71725
1,1,2.4358,-240.35,-125.21,0.71489
1,1,2.4691,-235.74,-125.38,0.70861
1,1,2.5025,-230.61,-126.23,0.73638
1,1,2.5359,-226.33,-126.23,0.74253
1,1,2.5692,-221.2,-126.23,0.74276
1,1,2.6026,-216.07,-126.23,0.72228
1,1,2.636,-210.88,-126.67,0.7308
1,1,2.6693,-205.39,-127.51,0.75329
1,1,2.7027,-201.54,-126.23,0.76881
1,1,2.7361,-197.27,-126.23,0.76737
1,1,2.7694,-192.14,-126.23,0.77551
1,1,2.8028,-187.01,-126.23,0.77752
1,1,2.8362,-181.88,-126.23,0.78387
1,1,2.8695,-176.75,-126.23,0.77502
1,1,2.9029,-171.62,-126.23,0.80553
1,1,2.9363,-167.34,-126.23,0.80625
1,1,2.9696,-162.21,-126.23,0.80956
1,1,3.003,-157.09,-126.23,0.80598
1,1,3.0364,-151.96,-126.23,0.81591
1,1,3.0697,-147.68,-126.23,0.81274
1,1,3.1031,-142.21,-127.77,0.80987
1,1,3.1365,-137.08,-127.26,0.81922
1,1,3.1698,-132.29,-127.94,0.83213
1,1,3.2032,-128.02,-127.94,0.81553
1,1,3.2366,-123.06,-128.45,0.80848
1,1,3.2699,-117.76,-127.94,0.84527
1,1,3.3033,-113.48,-129.65,0.85211
1,1,3.3367,-109.21,-129.65,0.86683
1,1,3.37,-104.94,-129.65,0.8684
1,1,3.4034,-100.66,-131.36,0.87469
1,1,3.4368,-95.531,-131.36,0.91176
1,1,3.4701,-91.256,-131.36,0.90607
1,1,3.5035,-86.127,-132.22,0.90549
1,1,3.5369,-80.997,-133.07,0.90308
1,1,3.5702,-75.365,-132.77,0.91204
1,1,3.6036,-70.376,-132.97,0.92818
1,1,3.637,-65.508,-134.38,0.97891
1,1,3.6703,-61.334,-134.78,0.98442
1,1,3.7037,-57.059,-134.78,0.98851
1,1,3.7371,-51.93,-134.78,1.0756
1,1,3.7704,-46.8,-134.78,1.0562
1,1,3.8038,-41.671,-134.78,1.1001
1,1,3.8372,-37.165,-134.25,1.0074
1,1,3.8705,-32.609,-133.76,1.0357
1,1,3.9039,-27.565,-134.35,1.0295
1,1,3.9373,-21.846,-133.81,1.066
1,1,3.9706,-19.443,-133.07,1.0667
1,1,4.004,-15.168,-133.07,1.0748
1,1,4.0374,-10.894,-133.07,1.0703
1,1,4.0707,-5.0804,-132.56,1.0596
1,1,4.1041,0.049084,-131.87,1.0717
1,1,4.1375,5.3496,-132.22,1.0906
1,1,4.1708,7.9143,-131.36,1.0797
1,1,4.2042,13.044,-131.36,1.0902
1,1,4.2376,18.173,-131.36,1.0865
1,1,4.2709,23.559,-131.45,1.1025
