ped. #,type,time (s),x (cm),y (cm),density (m-2)
1,1,0,-498.37,131.44,-1
1,1,0.033367,-493.41,131.78,-1
1,1,0.066733,-488.79,131.95,-1
1,1,0.1001,-483.66,131.95,-1
1,1,0.13347,-478.53,131.95,-1
1,1,0.16683,-473.4,131.95,-1
1,1,0.2002,-468.27,131.95,-1
1,1,0.23357,-463.32,133.15,-1
1,1,0.26693,-458.02,132.81,-1
1,1,0.3003,-452.2,133.15,-1
1,1,0.33367,-446.39,133.49,-1
1,1,0.36703,-440.58,133.83,-1
1,1,0.4004,-434.93,133.66,-1
1,1,0.43377,-429.29,134.35,-1
1,1,0.46713,-424.15,134.58,-1
1,1,0.5005,-418.69,134.52,-1
1,1,0.53387,-413.99,134.09,-1
1,1,0.56723,-408.6,134.86,-1
1,1,0.6006,-403.47,134.86,-1
1,1,0.63397,-398.17,133.66,-1
1,1,0.66733,-393.04,133.66,-1
1,1,0.7007,-387.91,133.66,-1
1,1,0.73407,-381.07,132.81,-1
1,1,0.76743,-376.85,132.61,-1
1,1,0.8008,-371.67,131.1,-1
1,1,0.83417,-365.69,131.1,-1
1,1,0.86753,-359.7,129.39,-1
1,1,0.9009,-354.23,129.56,-1
1,1,0.93427,-347.3,129.82,-1
1,1,0.96763,-342.19,129.06,-1
1,1,1.001,-337.57,128.08,-1
1,1,1.0344,-332.34,127.68,-1
1,1,1.0677,-325.93,128.96,-1
1,1,1.1011,-321.74,127.51,-1
1,1,1.1345,-316.95,127.68,-1
1,1,1.1678,-311.82,127.68,-1
1,1,1.2012,-306.27,128.11,-1
1,1,1.2346,-301.57,127.68,-1
1,1,1.2679,-295.58,128.53,-1
1,1,1.3013,-290.62,128.88,-1
1,1,1.3347,-284.04,129.82,-1
1,1,1.368,-278.48,130.24,-1
1,1,1.4014,-272.62,130.83,-1
1,1,1.4348,-267.14,131.45,-1
1,1,1.4681,-262.04,131.68,-1
1,1,1.5015,-257.88,131.2,-1
1,1,1.5349,-251.06,133.14,-1
1,1,1.5682,-246,133.66,-1
1,1,1.6016,-240.87,133.66,-1
1,1,1.635,-235.57,133.32,-1
1,1,1.6683,-230.63,133.13,-1
1,1,1.7017,-225.48,132.81,-1
1,1,1.7351,-220.35,132.81,-1
1,1,1.7684,-214.89,131.89,-1
1,1,1.8018,-210.52,130.67,-1
1,1,1.8352,-204.96,129.39,-1
1,1,1.8685,-197.5,128.19,-1
1,1,1.9019,-192.27,130.44,-1
1,1,1.9353,-186.15,129.39,-1
1,1,1.9686,-181.88,128.53,-1
1,1,2.002,-175.38,128.36,-1
1,1,2.0354,-169.05,125.97,-1
1,1,2.0687,-164.35,128.11,-1
1,1,2.1021,-159.22,128.11,-1
1,1,2.1355,-153.66,126.82,-1
1,1,2.1688,-147.68,126.82,-1
1,1,2.2022,-144.26,126.82,-1
1,1,2.2356,-139.07,127.15,-1
1,1,2.2689,-133.15,126.82,-1
1,1,2.3023,-127.59,126.4,-1
1,1,2.3357,-121.25,127.55,-1
1,1,2.369,-116.48,127.25,-1
1,1,2.4024,-111.91,127.02,-1
1,1,2.4358,-105.79,127.68,-1
1,1,2.4691,-96.386,127.68,-1
1,1,2.5025,-94.28,129.24,-1
1,1,2.5359,-89.15,129.24,-1
1,1,2.5692,-83.151,129.08,-1
1,1,2.6026,-77.15,129.82,-1
1,1,2.636,-70.85,130.72,-1
1,1,2.6693,-66.053,129.08,-1
1,1,2.7027,-60.052,129.82,-1
1,1,2.7361,-54.922,129.82,-1
1,1,2.7694,-48.938,128.96,-1
1,1,2.8028,-43.381,127.68,-1
